domain,agency,result,robots_txt,plain_fetch_status,plain_fetch_host,block_style,headless_browser,lighthouse,platform,server_header,cloudflare,last_audit
audraincounty.org,"Audrain County, MO",open,allowed,200,bare,,ok or not needed,ok,,Squarespace,,2026-08-19
crawfordcountymo.net,"Crawford County, MO",open,allowed,200,bare,,ok or not needed,ok,,Sucuri,yes,2026-08-18
howellcountymo.gov,"Howell County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-09-09
boonemo.gov,"Boone County, MO",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
claycountymo.gov,"Clay County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
gentrycounty.net,"Gentry County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
morgancountymo.gov,"Morgan County, MO",open,allowed,200,bare,,ok or not needed,ok,,Server,,2026-08-19
linncomo.com,"Linn County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
madisoncountymo.us,"Madison County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
dadecountymo.gov,"Dade County, MO",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
batescounty.net,"Bates County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
clarkcountymo.org,"Clark County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
new-madrid.mo.us,"New Madrid County, MO",open,allowed,200,bare-http,,ok or not needed,ok,,,,2026-09-09
nodawaycountymo.us,"Nodaway County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
warrencountymo.org,"Warren County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
rallscountymo.gov,"Ralls County, MO",open,allowed,200,bare,,ok or not needed,ok,,LiteSpeed,,2026-08-18
gasconadecounty.org,"Gasconade County, MO",blocks basic request,allowed,403,bare,denied-403,ok or not needed,ok,Unknown platform on Google Cloud,nginx,,2026-08-19
livingstoncountymo.gov,"Livingston County, MO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-17
sccmo.org,"Saint Charles County, MO",open,allowed,200,bare,,ok or not needed,ok,,CivicPlus,,2026-08-18
caldwellco.missouri.org,"Caldwell County, MO",open,allowed,200,bare,,ok or not needed,failed,,nginx,,2026-09-11
andrewcounty.org,"Andrew County, MO",open,allowed,200,bare,,ok or not needed,ok,,Flywheel,,2026-08-18
washingtoncountymo.us,"Washington County, MO",open,allowed,200,bare,,ok or not needed,ok,,LiteSpeed,,2026-08-18
adaircountymissouri.com,"Adair County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
pemiscotcounty.org,"Pemiscot County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
stlouis-mo.gov,"Saint Louis, MO",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-27
greenecountymo.gov,"Greene County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
colecounty.org,"Cole County, MO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
mcmo.us,"Montgomery County, MO",open,allowed,200,bare-http,,ok or not needed,failed,,Apache,,2026-09-11
stoneco-mo.us,"Stone County, MO",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-19
vernoncountymo.org,"Vernon County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
pikecountymo.net,"Pike County, MO",open,allowed,200,bare,,ok or not needed,ok,,DPS,,2026-08-18
pettiscomo.gov,"Pettis County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-09-09
stclaircomo.com,"St. Clair County, MO",blocks basic request,allowed,403,bare,cloudflare-challenge,ok or not needed,ok,CivicPlus (Cloudflare),cloudflare,yes,2026-08-24
randolphcounty-mo.com,"Randolph County, MO",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-11
charitonco.com,"Chariton County, MO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-17
jocomo.gov,"Johnson County, MO",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
butlercountymo.com,"Butler County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
phelpscounty.org,"Phelps County, MO",robots.txt exclusion,crawl-delay,200,bare,,ok or not needed,none,,Apache,,2026-07-19
marioncounty-mo.gov,"Marion County, MO",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-09
scottcountymo.com,"Scott County, MO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
lafayettecountymo.gov,"Lafayette County, MO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
sullivancounty.in.gov,"Sullivan County, IN",robots.txt exclusion,crawl-delay,200,bare,,ok or not needed,none,,nginx,,2026-07-19
madisoncountyfl.com,"Madison County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
jacksoncountyfl.gov,"Jackson County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
sjcfl.us,"Saint Johns County, FL",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-13
mymanatee.org,"Manatee County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
myokaloosa.com,"Okaloosa County, FL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
miamidade.gov,"Miami-Dade County, FL",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-08-18
libertycountyfl.org,"Liberty County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
gulfcounty-fl.gov,"Gulf County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
desotobocc.com,"DeSoto County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
stlucieco.gov,"Saint Lucie County, FL",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
gadsdencountyfl.gov,"Gadsden County, FL",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
martin.fl.us,"Martin County, FL",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
lafayettecountyfl.org,"Lafayette County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
hernandocounty.us,"Hernando County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
hcfl.gov,"Hillsborough County, FL",open,allowed,200,bare,,ok or not needed,ok,,Netlify,,2026-09-01
highlandsfl.gov,"Highlands County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
taylorcountygov.com,"Taylor County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
collier.gov,"Collier County, FL",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
santarosa.fl.gov,"Santa Rosa County, FL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
pascocountyfl.gov,"Pasco County, FL",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
putnam-fl.gov,"Putnam County, FL",open,allowed,200,www,,ok or not needed,ok,,openresty,,2026-09-09
dixiecounty.us,"Dixie County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
indianriver.gov,"Indian River County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
franklincountyflorida.com,"Franklin County, FL",open,allowed,200,bare,,ok or not needed,ok,,LiteSpeed,,2026-08-18
bradfordcountyfl.gov,"Bradford County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
broward.org,"Broward County, FL",blocks basic request,allowed,403,www,cloudflare-challenge,ok or not needed,failed,Cloudflare (other sites),cloudflare,yes,2026-08-18
claycountygov.com,"Clay County, FL",blocks basic request,allowed,403,bare,denied-403,ok or not needed,none,Granicus govAccess (Akamai),AkamaiGHost,,2026-07-25
mywaltonfl.gov,"Walton County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
mywakulla.com,"Wakulla County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
baycountyfl.gov,"Bay County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
jacksonville.gov,"Duval County, FL",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-27
nassaucountyfl.com,"Nassau County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
levycounty.org,"Levy County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
charlottecountyfl.gov,"Charlotte County, FL",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-08-26
marionfl.org,"Marion County, FL",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
leegov.com,"Lee County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
pinellas.gov,"Pinellas County, FL",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-01
myglades.com,"Glades County, FL",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-19
suwanneecountyfl.gov,"Suwannee County, FL",open,allowed,200,bare,,error,ok,,cloudflare,yes,2026-08-18
jeffersoncountyfl.gov,"Jefferson County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
columbiacountyfla.com,"Columbia County, FL",open,allowed,200,www,,ok or not needed,ok,,Microsoft-HTTPAPI,,2026-09-09
scgov.net,"Sarasota County, FL",blocks everything,allowed,403,www,denied-403,not reached,403,Granicus govAccess (Akamai),AkamaiGHost,,2026-09-09
bakercountyfl.org,"Baker County, FL",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
cms.leoncountyfl.gov,"Leon County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-13
myescambia.com,"Escambia County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
hardeecountyfl.gov,"Hardee County, FL",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
alachuacounty.us,"Alachua County, FL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
citruscounty.gov,"Citrus County, FL",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
gilchrist.fl.us,"Gilchrist County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
hamiltoncountyfl.com,"Hamilton County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
calhouncountyfl.gov,"Calhoun County, FL",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
hendryfla.net,"Hendry County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
unioncounty-fl.gov,"Union County, FL",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Cloudflare (other sites),cloudflare,yes,2026-08-24
monroecounty-fl.gov,"Monroe County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
okeechobeecountyfl.gov,"Okeechobee County, FL",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
discover.pbc.gov,"Palm Beach County, FL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
flaglercounty.gov,"Flagler County, FL",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
holmescountyfla.com,"Holmes County, FL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
washingtonfl.com,"Washington County, FL",open,allowed,200,bare,,ok or not needed,ok,,LiteSpeed,,2026-08-16
sumtercountyfl.gov,"Sumter County, FL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
polkfl.gov,"Polk County, FL",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
flatheadcounty.gov,"Flathead County, MT",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
glaciercountymt.gov,"Glacier County, MT",blocks everything,allowed,403,bare,denied-403,not reached,403,Unknown platform on Google Cloud,nginx,,2026-09-11
currituckcountync.gov,"Currituck County, NC",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
darenc.gov,"Dare County, NC",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Granicus govAccess (Akamai),AkamaiGHost,,2026-08-24
hydecountync.gov,"Hyde County, NC",blocks basic request,allowed,403,bare,denied-403,ok or not needed,none,Cloudflare (other sites),cloudflare,yes,2026-07-15
hertfordcountync.gov,"Hertford County, NC",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
perquimanscountync.gov,"Perquimans County, NC",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Other,LiteSpeed,,2026-08-24
camdencountync.gov,"Camden County, NC",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
gatescountync.gov,"Gates County, NC",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-19
pasquotankcountync.org,"Pasquotank County, NC",open,allowed,200,bare,,ok or not needed,ok,,Squarespace,,2026-08-19
co.bertie.nc.us,"Bertie County, NC",open,allowed,200,www-http,,ok or not needed,ok,,Microsoft-IIS,,2026-09-09
chowancounty-nc.gov,"Chowan County, NC",robots.txt exclusion,disallowed,200,bare,,ok or not needed,ok,,,,2026-08-14
sgcountymt.gov,"Sweet Grass County, MT",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
parkcountymt.gov,"Park County, MT",open,allowed,200,www,,ok or not needed,ok,,Apache,,2026-09-09
gallatinmt.gov,"Gallatin County, MT",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-09-13
fremontcountyid.gov,"Fremont County, ID",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
stillwatercountymt.gov,"Stillwater County, MT",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-13
prestoncountywv.gov,"Preston County, WV",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
newcastlede.gov,"New Castle County, DE",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
kentcountyde.gov,"Kent County, DE",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
sussexcountyde.gov,"Sussex County, DE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
billingscountynd.gov,"Billings County, ND",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
starkcountynd.gov,"Stark County, ND",robots.txt exclusion,disallowed,200,www,,error,ok,,,,2026-09-09
mckenziecountynd.gov,"McKenzie County, ND",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
dunncountynd.gov,"Dunn County, ND",robots.txt exclusion,disallowed,200,bare,,ok or not needed,ok,,,,2026-08-14
goldenvalleycounty.org,"Golden Valley County, ND",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
slopecountynd.gov,"Slope County, ND",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
browncounty-in.gov,"Brown County, IN",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
bartholomew.in.gov,"Bartholomew County, IN",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
jacksoncounty.in.gov,"Jackson County, IN",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
jenningscounty-in.gov,"Jennings County, IN",open,allowed,200,bare,,ok or not needed,failed,,DPS,,2026-09-11
decaturcounty.in.gov,"Decatur County, IN",blocks basic request,allowed,403,bare,denied-403,ok or not needed,ok,AWS CloudFront (other sites),CloudFront,,2026-08-19
santafecountynm.gov,"Santa Fe County, NM",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
co.sanmiguel.nm.us,"San Miguel County, NM",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
countyofmora.com,"Mora County, NM",blocks basic request and headless browser,allowed,403,bare,cloudflare-challenge,blocked (403),ok,CivicPlus (Cloudflare),cloudflare,yes,2026-08-24
losalamosnm.gov,"Los Alamos County, NM",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
sandovalcountynm.gov,"Sandoval County, NM",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
co.pickens.sc.us,"Pickens County, SC",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
greenvillecounty.org,"Greenville County, SC",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-19
spartanburgcounty.gov,"Spartanburg County, SC",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
laurenscountysc.gov,"Laurens County, SC",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
andersoncountysc.org,"Anderson County, SC",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
whitesidecountyil.gov,"Whiteside County, IL",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
oconeesc.com,"Oconee County, SC",open,allowed,200,bare,,ok or not needed,ok,,"Please, Have A Great Day",,2026-08-18
maurycounty-tn.gov,"Maury County, TN",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
kanecountyil.gov,"Kane County, IL",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
saguachecounty.colorado.gov,"Saguache County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
kitcarsoncounty.colorado.gov,"Kit Carson County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
moffatcounty.colorado.gov,"Moffat County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
archuletacounty.gov,"Archuleta County, CO",open,allowed,200,bare,,ok or not needed,ok,,LiteSpeed,,2026-08-18
huerfano.us,"Huerfano County, CO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
washingtoncounty.colorado.gov,"Washington County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
elbertcounty-co.gov,"Elbert County, CO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
crowleycounty.colorado.gov,"Crowley County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
broomfield.org,"Broomfield, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
phillipscounty.colorado.gov,"Phillips County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
larimer.gov,"Larimer County, CO",blocks basic request,allowed,403,bare,cloudflare-challenge,ok or not needed,ok,Cloudflare (other sites),cloudflare,yes,2026-08-19
morgancounty.colorado.gov,"Morgan County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
riograndecounty.colorado.gov,"Rio Grande County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
co.cheyenne.co.us,"Cheyenne County, CO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
jeffco.us,"Jefferson County, CO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-13
county.pueblo.org,"Pueblo County, CO",blocks basic request,allowed,403,bare,cloudflare-challenge,ok or not needed,ok,Cloudflare (other sites),cloudflare,yes,2026-08-18
lakecountyco.gov,"Lake County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
lincolncounty.colorado.gov,"Lincoln County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
tellercounty.gov,"Teller County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
rbc.us,"Rio Blanco County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-12
gilpincounty.colorado.gov,"Gilpin County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
weld.gov,"Weld County, CO",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
elpasoco.com,"El Paso County, CO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
yumacounty.net,"Yuma County, CO",broken or unreachable,allowed,404,bare,,ok or not needed,none,,Apache,,2026-07-19
bouldercounty.gov,"Boulder County, CO",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
douglas.co.us,"Douglas County, CO",robots.txt exclusion,crawl-delay,200,bare,,ok or not needed,none,,cloudflare,yes,2026-07-19
denvergov.org,"Denver, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-26
garfieldcountyco.gov,"Garfield County, CO",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
mesacounty.us,"Mesa County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-13
conejoscounty.colorado.gov,"Conejos County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
oterocounty.colorado.gov,"Otero County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
logancounty.colorado.gov,"Logan County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Cloudflare (other sites),CloudFront,yes,2026-08-24
ouraycountyco.gov,"Ouray County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
adamscountyco.gov,"Adams County, CO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-09
custercounty-co.gov,"Custer County, CO",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
sedgwickcounty.colorado.gov,"Sedgwick County, CO",blocks basic request and headless browser,allowed,403,bare,denied-403,blocked (403),ok,Colorado state platform (CloudFront),CloudFront,,2026-08-24
fremontcountyco.gov,"Fremont County, CO",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
alamosacounty.org,"Alamosa County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
arapahoeco.gov,"Arapahoe County, CO",robots.txt exclusion,disallowed,200,bare,,ok or not needed,none,,,,2026-07-19
eaglecounty.us,"Eagle County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
co.grand.co.us,"Grand County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
deltacountyco.gov,"Delta County, CO",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
sanmiguelcountyco.gov,"San Miguel County, CO",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-19
daggettcounty.gov,"Daggett County, UT",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
unionnm.us,"Union County, NM",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
albanycountywy.gov,"Albany County, WY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
uintah.gov,"Uintah County, UT",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
laramiecountywy.gov,"Laramie County, WY",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
rio-arriba.org,"Rio Arriba County, NM",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
sweetwatercountywy.gov,"Sweetwater County, WY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
deuelcountyne.gov,"Deuel County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-19
cheyennecounty.nebraska.gov,"Cheyenne County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-09
perkinscounty.ne.gov,"Perkins County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
kimballcountyne.gov,"Kimball County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
dundycounty.ne.gov,"Dundy County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-09
chasecounty.nebraska.gov,"Chase County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-19
bonnevillecountyidaho.gov,"Bonneville County, ID",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
cariboucounty.us,"Caribou County, ID",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-11
richcounty.gov,"Rich County, UT",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
bearlakecounty.info,"Bear Lake County, ID",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
summitcountyutah.gov,"Summit County, UT",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
saunderscounty.ne.gov,"Saunders County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
garfieldcounty.ne.gov,"Garfield County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-17
gregory.sdcounty.gov,"Gregory County, SD",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
bannercountyne.gov,"Banner County, NE",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
nuckollscountyne.gov,"Nuckolls County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-19
thomascountyne.gov,"Thomas County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
loupcounty.nebraska.gov,"Loup County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-19
thayercountyne.gov,"Thayer County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
mcphersoncounty.ne.gov,"McPherson County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
valleycountyne.gov,"Valley County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-19
pawneecountyne.gov,"Pawnee County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
sarpy.gov,"Sarpy County, NE",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-19
butlercountyne.gov,"Butler County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
oglalalakotacountysd.gov,"Oglala Lakota County, SD",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-09-09
woodburycountyiowa.gov,"Woodbury County, IA",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-18
frontiercounty.ne.gov,"Frontier County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
cherrycountyne.gov,"Cherry County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
nancecountyne.gov,"Nance County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
blainecounty.nebraska.gov,"Blaine County, NE",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-08-18
dawescounty.ne.gov,"Dawes County, NE",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-09-12
